artist,album,score,genres
Kaytranada,99.90%,SCORE ERROR,GENRES ERROR
The Game,1992,SCORE ERROR,GENRES ERROR
JAY-Z,4:44,SCORE ERROR,GENRES ERROR
Slipknot,.5: The Gray Chapter,SCORE ERROR,GENRES ERROR
Sia,1000 Forms of Fear,SCORE ERROR,GENRES ERROR
TTNG (This Town Needs Guns),13.0.0.0.0,SCORE ERROR,GENRES ERROR
Hoax,3rd EP,SCORE ERROR,GENRES ERROR
Villagers,{Awayland},SCORE ERROR,GENRES ERROR
Flatbush Zombies,3001: A Laced Odyssey,SCORE ERROR,GENRES ERROR
Arca,&&&&& MIX,SCORE ERROR,GENRES ERROR
Anamanaguchi,[USA],SCORE ERROR,GENRES ERROR
Open Mike Eagle,4NML HSPTL,SCORE ERROR,GENRES ERROR
Denzel Curry,32 Zel / Planet Shrooms,SCORE ERROR,GENRES ERROR
Big K.R.I.T.,4evaNaDay,SCORE ERROR,GENRES ERROR
Tonetta,777 Volume One,SCORE ERROR,GENRES ERROR
Da Mafia 6ix,6ix Commandments,SCORE ERROR,GENRES ERROR
Ratking,700-FILL ALBUM /,SCORE ERROR,GENRES ERROR
Santigold,99 Cents,SCORE ERROR,GENRES ERROR
"""93PUNX, Vic Mensa """,93PUNX,SCORE ERROR,GENRES ERROR
Wu-Tang Clan,A Better Tomorow,SCORE ERROR,GENRES ERROR
Knocked Loose,A Different Shade of Blue,SCORE ERROR,GENRES ERROR
Czarface,A Fistful of Peril,SCORE ERROR,GENRES ERROR
Denzel Curry,13,7.2,Rap
Jay Rock,90059,8.0,Rap
XXXTentacion,17,6.5,Rap
Queens of the Stone Age,...Like Clockwork,7.3,Rock
Adele,25,7.3,Pop/R&B
Cashmere Cat,9,6.8,Electronic
Lil Nas X,7,4.3,"Rap,Folk/Country"
A.A.L (Against All Logic),2012 - 2017,8.8,Electronic
The Roots,...And Then You Shoot Your Cousin,7.2,Rap
XXXTENTACION,?,3.5,Rap
Richard Dawson,2020,7.8,
Beach House,7,8.9,Rock
Joey Bada$$,1999,8.0,Rap
J. Cole,2014 Forest Hills Drive,6.9,Rap
Against All Logic,2017–2019,7.9,Electronic
The Magnetic Fields,50 Song Memoir,7.4,Rock
Childish Gambino,3.15.20,6.0,Rap
Bon Iver,"""22, A Million""",9.0,Rock
Foxygen,...And Star Power,7.0,Rock
J. Cole,4 Your Eyez Only,6.7,Rap
Mac DeMarco,2,3.5,Rock
Africa Hitech,93 Million Miles,8.2,Electronic
Ghostface Killah,36 Seasons,6.0,Rap
Tropical [Frick] Storm,A Laughing Death in Meatspace,SCORE ERROR,GENRES ERROR
Crystal Castles,(III),8.0,Electronic
Big K.R.I.T.,4eva Is a Mighty Long Time,7.3,Rap
David Bowie,★ (Blackstar),8.5,Rock
King Krule,6 Feet Beneath The Moon,7.3,Rock
100 gecs,1000 gecs,7.4,"Experimental,Electronic"
Princess Nokia,1992 Deluxe,6.2,Rap
Clams Casino,32 Levels,6.9,Rap
Bruno Mars,24K Magic,6.2,Pop/R&B
The War On Drugs,A Deeper Understanding,8.7,Rock
How To Dress Well,"""""""What Is This Heart?""""""",8.8,Pop/R&B
Mount Eerie,A Crow Looked At Me,8.5,Rock
Everything Everything,A Fever Dream,7.1,Rock
Princess Nokia,A Girl Cried Red,5.9,Rap
Pile,A Hairshirt of Purpose,7.7,Rock
The 1975,A Brief Inquiry Into Online Relationships,8.5,Rock
Black Sabbath,13,7.0,"Metal,Rock"
Kate Bush,50 Words For Snow,8.5,Pop/R&B
Trippie Redd,A Love Letter to You 4,SCORE ERROR,GENRES ERROR
Slauson Malone,"""A Quiet Farwell, 2016–2018""",SCORE ERROR,GENRES ERROR
Open Mike Eagle,A Special Episode Of,SCORE ERROR,GENRES ERROR
M.I.A.,A.I.M.,SCORE ERROR,GENRES ERROR
Oblivionized,Abhorrent Evolution,SCORE ERROR,GENRES ERROR
Paul White ft. Danny Brown,Accelerator,SCORE ERROR,GENRES ERROR
A-1,After School Special,SCORE ERROR,GENRES ERROR
Various Artists,Afro-Beat Airways,SCORE ERROR,GENRES ERROR
Dance Gavin Dance,Afterburner,SCORE ERROR,GENRES ERROR
Trippie Redd,A Love Letter to You 3,6.6,Rap
Titus Andronicus,A Productive Cough,5.9,Rock
Archy Marshall,A New Place 2 Drown,8.6,"Electronic,Rock"
Trippie Redd,A Love Letter To You 2,6.4,Rap
Savages,Adore Life,8.0,Rock
Thee Oh Sees,A Weird Exits,7.5,Rock
Jay Electronica,A Written Testimony,8.4,Rap
The Weeknd,After Hours,7.9,Pop/R&B
Ben Frost,A U R O R A,8.5,"Electronic,Experimental"
Pharmakon,Abandon,8.0,Experimental
William Basinski,A Shadow In Time,7.9,Experimental
Chance The Rapper,Acid Rap,8.4,Rap
Nine Inch Nails,Add Violence,7.3,Rock
Willis Earl Beal,Acousmatic Sorcery,7.2,Experimental
Coldplay,A Head Full of Dreams,4.8,Rock
Sturgill Simpson,A Sailor's Guide To Earth,8.0,Folk/Country
Godflesh,A World Lit Only By Fire,8.0,Metal
PLANNINGTOROCK,All Love's Legal,7.5,"Electronic,Rock"
Blu & Oh No,A Long Red Hot Los Angeles Summer Night,7.3,Rap
Oneohtrix Point Never,Age Of,6.5,Experimental
Gesaffelstein,Aleph,7.8,Pop/R&B
Chelsea Wolfe,Abyss,8.1,Rock
Radiohead,A Moon Shaped Pool,9.1,Rock
Solange,A Seat At The Table,8.7,Pop/R&B
Milo,A Toothpaste Suburb,7.8,Rap
Black Milk,Album of the Year,7.5,Rap
Angel Olsen,All Mirrors,8.9,Rock
Nails,Abandon All Life,8.0,Metal
Screaming Females,All at Once,8.0,Rock
Paramore,After Laughter,7.5,Rock
Girl Talk,All Day,8.3,Electronic
Wavves,Afraid of Heights,7.8,Rock
The Mountain Goats,All Eternals Deck,8.1,Rock
